AC,PAC,EM,EDy,HDy,FH-AC,FH-PAC,FH-EM,FH-EDy,FH-HDy
0.00611,0.01400,0.06661,0.01408,0.02374,0.00622,0.06787,0.08101,0.05864,0.01850
0.00513,0.00786,0.04783,0.00728,0.01588,0.00527,0.04776,0.05899,0.04145,0.01179
0.00465,0.00726,0.05833,0.00674,0.01135,0.00481,0.05761,0.07245,0.04942,0.01404
0.00254,0.00476,0.04344,0.00490,0.00762,0.00285,0.04406,0.05376,0.03835,0.00831
0.00229,0.00296,0.02041,0.00295,0.00543,0.00263,0.02259,0.02577,0.02028,0.00426
0.00188,0.00206,0.01335,0.00211,0.00425,0.00231,0.01577,0.01747,0.01443,0.00312
