AC,PAC,EM,EDy,HDy,FH-AC,FH-PAC,FH-EM,FH-EDy,FH-HDy
0.48027,0.03201,1.27692,0.02078,0.01558,0.0423,0.23638,0.52121,0.19974,0.05486
0.50396,0.02004,1.24499,0.01683,0.01422,0.04923,0.23093,0.49972,0.19557,0.04838
0.34002,0.01195,1.23635,0.00854,0.00744,0.0781,0.23407,0.48575,0.20194,0.04361
0.36703,0.01146,1.23959,0.00779,0.00613,0.09725,0.23816,0.4863,0.2071,0.04307
0.33625,0.01158,1.24122,0.00762,0.00639,0.1093,0.24026,0.48758,0.2097,0.04357
0.31863,0.01189,1.24246,0.00732,0.00641,0.11676,0.24185,0.48738,0.21185,0.04369
