AC,PAC,EM,EDy,HDy,FH-AC,FH-PAC,FH-EM,FH-EDy,FH-HDy
0.39358,0.02096,1.37887,0.01724,0.01403,0.01858,0.18231,0.29604,0.15504,0.05174
0.4519,0.01759,1.33771,0.01621,0.02174,0.01556,0.15026,0.21298,0.1283,0.0413
0.42927,0.00736,1.26977,0.00694,0.00683,0.00808,0.07811,0.09238,0.06894,0.01634
0.39936,0.00617,1.25254,0.00622,0.0126,0.00718,0.05633,0.06263,0.05077,0.01087
0.43241,0.00501,1.24976,0.00456,0.00893,0.00711,0.04596,0.05032,0.04174,0.00828
0.53591,0.0046,1.24611,0.00453,0.01041,0.00688,0.04058,0.04373,0.03745,0.00872
