AC,PAC,EM,EDy,HDy,FH-AC,FH-PAC,FH-EM,FH-EDy,FH-HDy
0.43028,0.08928,1.40431,0.07432,0.10168,0.16521,0.24759,0.32654,0.24764,0.21117
0.46268,0.06996,1.39497,0.07918,0.10632,0.16809,0.24649,0.28055,0.24842,0.21021
0.53454,0.07121,1.37341,0.06605,0.06862,0.17365,0.22811,0.22134,0.23097,0.20155
0.50323,0.04075,1.36239,0.04332,0.04062,0.16935,0.22471,0.21181,0.22778,0.19835
0.48821,0.04801,1.36557,0.04543,0.04423,0.16408,0.22073,0.20756,0.22416,0.19649
0.70612,0.0384,1.36501,0.03841,0.03761,0.16638,0.22261,0.20982,0.22621,0.19878
